Post/Reply,Language,Replies-to,Author,Date,Thread_ID
"????????? ??????, ??????? ?????? group ? guild ??? onyxia ?? ??????????? ???? ???? ?",English,Initiator Post(post_3202700),anna3,2023-11-10,thread_461776
Yparxei kapoia guild pou tha xekinisei ston ONYXIA ? h kapoia parea atomvn ?,Greeklish,post_3202700,anna3,2023-11-10,thread_461776
egw 8a bw alliance molis 3ekinisei,Greeklish,post_3202700,SilentHll,2023-11-11,thread_461776
LORDAERON x1 / HordeΓεια χαρα!Ψαχνω Έλληνες για παρέα ή casual Guild.char name: Venetutsiclass: warlocklvl: 35,Greeklish,Initiator Post(post_3151797),pipernan,2022-05-19,thread_447248
geia sou eimai ston  lordaeron. character: Patfenis            eimai  warlock. 8a  3ekinisw wow stis 16 tou mhna,English,post_3151797,LockandRoll18,2023-10-10,thread_447248
Geia sas alania ego onyxia einai akribos oti epsaxna kai epeidi exo na pekso para polla xronia tha mpw me ta mpounia apla eimai teleios solo an psinete kapoios mporoune na kanoume kati,Greeklish,post_3151797,JMarou,2023-10-17,thread_447248
"Originally Posted byJMarouGeia sas alania ego onyxia einai akribos oti epsaxna kai epeidi exo na pekso para polla xronia tha mpw me ta mpounia apla eimai teleios solo an psinete kapoios mporoune na kanoume katima o onixia den exei 3ekinisei, den einai beta?",Greeklish,post_3151797,LockandRoll18,2023-10-17,thread_447248
"?????????,???????? ?????? ?? ????? WoW, ????? ????? ??? ??????? ??????.??? ??????? ???????? guild ? ????? ??? ?????? Icecrown, Slyrac ??????? Ingame ? ?????? ??? Discord ??? ????.",English,Initiator Post(post_3199940),Slyrack,2023-10-17,thread_461042
"kalispera,Prosfata arxisa WoW, opote den gnwrizw arketa.Ean uparxei elliniko guild h parea pou paizei Icecrown, Slyrac legomai Ingame h grapste mou Discord apo katw.",English,post_3199940,Slyrack,2023-10-17,thread_461042
Kalhspera.. Yparxei kapoio Ellhniko guild ston Icecrown Horde h Alliance ?,English,Initiator Post(post_3176212),Orchex,2023-02-20,thread_454893
vrikes tipota?,Greeklish,post_3176212,fije23,2023-03-04,thread_454893
"????????? ??????, ????? ?? ??? alliance. /w Mitce",English,post_3176212,Jimmis,2023-06-08,thread_454893
"Kalispera se olous.Parakatw ena link apo discord sto opoio tha ginontai diafora imprmptu raids, typou tha enimerwnw mia mera prin to raid.Kyriws ICC Bane runs alla kai normals, makari na mazeutoume polloi kai gia 25man contents.Gia osous den mporoun h den theloun na kanoun commit se mia guild alla na mpainoyn na paizoun opote mporoun se ena Elliniko community.Molis mpeite sto channel  mpeite sto ""roles robot"" channel kai kante react.https://discord.gg/mdbdqvrbvG",English,Initiator Post(post_3177995),Onebuttonman,2023-03-11,thread_455421
"kalhspera se oloys kai se oles,pros anazitisi ellhnikoy guild an yparxei ston Frostmourne eite alliance eite horde.An gnwrizei kapoios kati as afhsei ena minima re paloykaria.Thnks",Greeklish,Initiator Post(post_3169884),Legeonarios,2022-11-28,thread_452837
Egw tha paixw alliance an ginei kanena guild grapste,English,Initiator Post(post_3146556),SilentHll,2022-04-15,thread_445626
[QUOTE=SilentHll;3146556]Egw tha paixw alliance an ginei kanena guild grapste[/ kai ego to idio pragma psaxno as einai oti thane alliance h horde apla tha eithela na pexo se elliniko guild,English,post_3146556,kleezboi,2022-04-15,thread_445626
"?????? ?????? ???? ??? horde,???? ??? alliance ?????? ??????? ??????? ????????? ?? wotlk ?? ??????? ?? ????????",Greeklish,post_3146556,Legeonarios,2022-11-28,thread_445626
Καλησπερα παιδια ειμαστε μια παρεα απο ολοκληρη την ελλαδα και προσφατα αρχησαμε να παιζουμε στο Warmane εχουμε φτιαξει ενα ελληνικο Guild με σκοπο να κανουμε raids και PvP events. Ειστε ολοι ευπροσδεκτοι να μπειτε στην παρεα μας και να παιζουμε ολοι μαζι. Εγω ειμαι ο z0gra και κανω livestreams καθημερινα.Αυτα ειναι τα λινκς απο τα livestreams.https://trovo.live/s/Z0GRA/213283010https://www.twitch.tv/z0graΑυτο ειναι το λινκ απο το discord serverhttps://discord.gg/csJ5HgycMs,Greeklish,Initiator Post(post_3162665),Zogra,2022-09-02,thread_450632
se poio realm eiste kai alliance h Horde?,Greeklish,post_3162665,stam114,2022-09-24,thread_450632
"Originally Posted bystam114se poio realm eiste kai alliance h Horde???????? ??? Frostmourne realm ??? ??????? Horde, ??? ????? ??? season 4 ??? Frostmourne ?? ???????????? ???? Icecrown ???? ??? ?? ????????????? ??? Guild. ??? ???????????? ??????????? ???????? ?? ?????? ??? discord server .https://discord.gg/csJ5HgycMs",English,post_3162665,Zogra,2022-11-10,thread_450632
"Originally Posted bystam114se poio realm eiste kai alliance h Horde?eimaste sto Frostmourne Realm kai eimaste Horde, sto telos tou season 4 tha mas metaferei ston Icecrown opou tha xsanaftiaxoume thn guild, gia opoiadipote ali pliroforia mporeite na episkeyteite to discord server.https://discord.gg/csJ5HgycMs",English,post_3162665,Zogra,2022-11-10,thread_450632
Το ονομα μου στο παιχνιδι ειναι Nariaran αν υπαρχει καποιο Alliance Ελληνικο guild στο Icecrown realm θα ηθελα να συμμετεχω.,Greeklish,Initiator Post(post_3163916),MikrosHrws,2022-09-18,thread_450999
+1 ψάχνω και εγώ. ingame name inflane,English,post_3163916,aimon,2022-09-21,thread_450999
psaxno guild ellliniko (H) kai international den tha me peiraze. Priest 80aris freskos.,Greeklish,Initiator Post(post_3153680),Apaleytos,2022-06-04,thread_447848
Psaxn atoma na pexoume parea eimaste  peripou 4-5 atoma pareitsa kaname ena guildaki kai psaxnoume kai alla pedia na pexoume parea opoios goustarei kai 8elei as mou stilei ena wisper ingame  name : Afflictedkid ( Horde ),Greeklish,Initiator Post(post_3128597),Vasilismagos,2021-10-20,thread_440585
pano sto Lorderon?,Greeklish,post_3128597,sparx666,2022-06-02,thread_440585
Mipos eiste sto frostmourne?,Greeklish,post_3128597,Apaleytos,2022-06-04,thread_440585
Kalhspera. Edw kai kati meres apofasisa na paiksw ston icecrown kai psaxnw pareoula. Kanena ellhniko guild gia fun. Paizw mage horde,English,Initiator Post(post_3153057),Antonmmeister,2022-05-30,thread_447657
"Γεια σας σε όλους σας!!Server: Frostmourne / HordeΕλληνικό Guild, Χαρούμενη και ευχάριστη παρέα.Όποιος ενδιαφέρεται ας έρθει να κάνουμε ένα ευχάριστο παιχνίδιDungeon - Raid - PVPΆτομα που μπορείτε να μιλήσετε για να σας βάλουν είναι Stugia, Ntipmualo, Iokasth, Rekles, Tsimpoukaή add discordhttps://discord.gg/GJxGbmxΣας περιμένουμε να περνάτε καλά!!",Greeklish,Initiator Post(post_3068345),crystallenia898,2020-07-17,thread_423611
Ε μεις αυξανόμαστε και θα αρχίσουμε να στήνουμε την ομάδα και για το raid μας οποίος ενδιαφέρεται μπορεί να έρθει ακόμα!!Καλό παιχνίδι!!,Greeklish,post_3068345,crystallenia898,2020-07-26,thread_423611
tha pexete season 3 gt endiaferome na mpo,English,post_3068345,kleezboi,2022-04-15,thread_423611
