text,orig_lang
Piece of cake - A,English
Cleft stick - In a ,English
God rot them,English
Have an axe to grind,English
i couldn't care less if somebody's asking you something and this is a really easy decision for you like somebody tells you take my 1 million dollars and you say this is a no-brainer.,English
oh silly he's rich and handsome what more could i want terrence i accept your proposal.,English
"If it ain't broke, don't fix it",English
Modifications to all articles would be published immediately.,English
"From the broadest geophysiological point of view, the biosphere is the global ecological system integrating all living beings and their relationships, including their interaction with the elements of the lithosphere (rocks), hydrosphere (water), and atmosphere (air).",English
"This was the first interactive multimedia encyclopedia (and was also the first major multimedia document connected through internal links), with the majority of articles being accessible through an interactive map of the UK.",English
Acid test,English
"""[324] Wikipedia won two major awards in May 2004.",English
so the next time you hear of a horrific act on the news remember to.,English
Sloane Ranger,English
Hell's bells,English
"Among Wikipedia editors, this is often phrased as ""verifiability, not truth"" to express the idea that the readers, not the encyclopedia, are ultimately responsible for checking the truthfulness of the articles and making their own interpretations.",English
A legend in one's own lifetime,English
Earth has evolved through geological and biological processes that have left traces of the original conditions.,English
My husband and I,English
don't worry about it.,English
No rest for the wicked,English
i was wondering if yo could help me with this.,English
Machine learning involves computers discovering how they can perform tasks without being explicitly programmed to do so.,English
Jack the lad,English
"[116] Editors who do not log in are in some sense second-class citizens on Wikipedia,[116] as ""participants are accredited by members of the wiki community, who have a vested interest in preserving the quality of the work product, on the basis of their ongoing participation"",[117] but the contribution histories of anonymous unregistered editors recognized only by their IP addresses cannot be attributed to a particular editor with certainty.",English
Nitty-gritty,English
"Although humans comprise only a minuscule proportion of the total living biomass on Earth, the human effect on nature is disproportionately large.",English
"Some are born great, some achieve greatness, and some have greatness thrust upon 'em",English
so one at a time be sure that you're pronouncing .the word in the right manner go on to google and type the word and in the search right on top you'll see a little speaker icon click on that speaker.,English
[8] Bloomberg Businessweek reported in July 2014 that Google's Android mobile apps have dominated the largest share of global smartphone shipments for 2013 with 78.6% of market share over their next closest competitor in iOS with 15.2% of the market.,English
Necessity is the mother of invention,English
An arm and a leg ,English
if something surprises you you can also say you gotta be kidding me like oh my god.,English
"In unsupervised feature learning, features are learned with unlabeled input data.",English
My cup of tea,English
Nothing succeeds like success,English
Batten down the hatches,English
Like billy-o,English
"yeah, of course.",English
Baby father,English
Play fast and loose,English
"[45]
The self-learning algorithm updates a memory matrix W =||w(a,s)|| such that in each iteration executes the following machine learning routine: It is a system with only one input, situation s, and only one output, action (or behavior) a.",English
"For the best performance in the context of generalization, the complexity of the hypothesis should match the complexity of the function underlying the data.",English
All the tea in China - Not for ,English
asking for repetition.,English
Not rocket science,English
The training examples come from some generally unknown probability distribution (considered representative of the space of occurrences) and the learner has to build a general model about this space that enables it to produce sufficiently accurate predictions in new cases.,English
Put a spanner in the works,English
'Scuse me while I kiss this guy,English
"Beyond certain basic characteristics that many philosophers agree about to explain what is seen as beautiful, the opinions are virtually endless.",English
The bane of my life,English
"[12] Other collaborative online encyclopedias were attempted before Wikipedia, but none were as successful.",English
Go to the mattresses,English
[220] Wikipedia has been described as harboring a battleground culture of sexism and harassment.,English
Shiver my timbers,English
Glass ceiling,English
"[227] Following the departure of Tretikov from Wikipedia due to issues concerning the use of the ""superprotection"" feature which some language versions of Wikipedia have adopted, Katherine Maher became the third executive director of the Wikimedia Foundation in June 2016.",English
Fixer-upper,English
The sky's the limit,English
Chain is only as strong as its weakest link - A ,English
A ministering angel shall my sister be,English
(In a) pig's eye,English
Yada yada,English
Out of sorts,English
i want to continue i'm not tired not of it when somebody is asking you are you sure and you're pretty sure you can say there is no room for that?,English
Abracadabra,English
"""[190] Other critics have made similar charges that, even if Wikipedia articles are factually accurate, they are often written in a poor, almost unreadable style.",English
i'm ok but thanks for offering.,English
A pig in a poke,English
at that moment narcissus started to laugh in her sleep her mother was extremely surprised how nice she must be having a really funny dream the next morning when narcissus.,English
Put the cart before the horse,English
Stiff upper lip,English
Dirt bag,English
Spoonerisms,English
"[75][76] However, some vandalism takes much longer to repair.",English
The field changed its goal from achieving artificial intelligence to tackling solvable problems of a practical nature.,English
Stone the crows,English
One swallow doesn't make a summer,English
"[67] The term inductive here refers to philosophical induction, suggesting a theory to explain observed facts, rather than mathematical induction, proving a property for all members of a well-ordered set.",English
"[84] For a brief period in Mars' history, it may have also been capable of forming life.",English
All that glitters is not gold / All that glisters is not gold,English
Chalk and cheese,English
Pitch black,English
Much of a muchness,English
Nail your colours to the mast,English
Harp on,English
[49][50][51] Manifold learning algorithms attempt to do so under the constraint that the learned representation is low-dimensional.,English
Heads up,English
"Rosenzweig also criticized the ""waffling—encouraged by the NPOV policy—[which] means that it is hard to discern any overall interpretive stance in Wikipedia history"".",English
Okay,English
swamp is a piece of wetland and if somebody steps in the wrong place on a swamp they could easily drown and the verb form of swamp means to sink so here's how you can use this word.,English
"It was initially an English-language encyclopedia, but versions in other languages were quickly developed.",English
[33][34] This concept of a global ocean as a continuous body of water with relatively free interchange among its parts is of fundamental importance to oceanography.,English
Shot across the bows,English
Achilles' heel,English
[201] Research conducted by Mark Graham of the Oxford Internet Institute in 2009 indicated that the geographic distribution of article topics is highly uneven.,English
Lark about,English
how do you know?.,English
Tommy Atkins,English
Emperor's new clothes,English
"For Derakhshan, Wikipedia's goal as an encyclopedia represents the Age of Enlightenment tradition of rationality triumphing over emotions, a trend which he considers ""endangered"" due to the ""gradual shift from a typographic culture to a photographic one, which in turn mean[s] a shift from rationality to emotions, exposition to entertainment"".",English
Loose cannon,English
Like two peas in a pod ,English
"[284] At the time of the Tretikov appointment and her posted web interview with Sue Gardner in May 2014, Wikimedia representatives made a technical announcement concerning the number of mobile access systems in the market seeking access to Wikipedia.",English
"While generally praising the article on William Clarke Quantrill, he quoted its conclusion as an example of such ""waffling"", which then stated: ""Some historians [...] remember him as an opportunistic, bloodthirsty outlaw, while others continue to view him as a daring soldier and local folk hero.",English
Bee's knees - The ,English
Throw in the towel,English
i think that's a good idea.,English
"O Romeo, Romeo! wherefore art thou Romeo?",English
"In December 2015, John Julius Norwich stated, in a letter published in The Times newspaper, that as a historian he resorted to Wikipedia ""at least a dozen times a day"", and had never yet caught it out.",English
It is not rare for articles strongly related to a particular language not to have counterparts in another edition.,English
"Space, the final frontier",English
Pull the wool over your eyes,English
Safe pair of hands - A ,English
"[8] Loveland and Reagle argue that, in process, Wikipedia follows a long tradition of historical encyclopedias that accumulated improvements piecemeal through ""stigmergic accumulation"".",English
Tea leaf,English
Every cloud has a silver lining,English
 Go over like a lead balloon,English
Go-faster ,English
there is no room for doubt in america if you want to sms somebody or send them a message you say text to text so i'll text you means i will send you a message through whatsapp or a telegram or messenger of whatever using i'll text you again to cheer somebody up to tell them to not be upset you can say it's not worth it like why are you crying?,English
was very scared don't worry my dear all of this will soon be over just as he said this the carriage went through another portal and reached the driveway.,English
Tickle the ivories,English
Butterfingers,English
"To sleep: perchance to dream: ay, there's the rub",English
"For example, manufactured objects and human interaction generally are not considered part of nature, unless qualified as, for example, ""human nature"" or ""the whole of nature"".",English
On tenterhooks,English
[72] Any change or edit that manipulates content in a way that purposefully compromises the integrity of Wikipedia is considered vandalism.,English
"The study of mathematical optimization delivers methods, theory and application domains to the field of machine learning.",English
Stump up,English
oh my god.,English
Knock on wood,English
Ecosystems are composed of a variety of biotic and abiotic components that function in an interrelated way.,English
Honesty is the best policy,English
I'll be there with bells on,English
"Romeo, Romeo, wherefore art thou Romeo?",English
Rosie Lea,English
"[6] Machine learning approaches are traditionally divided into three broad categories, depending on the nature of the ""signal"" or ""feedback"" available to the learning system: Other approaches have been developed which don't fit neatly into this three-fold categorisation, and sometimes more than one is used by the same machine learning system.",English
Jump the gun,English
La dolce vita,English
Matter is commonly defined as the substance of which physical objects are composed.,English
Bronx cheer,English
Imitation is the sincerest form of flattery,English
"Overall, Wikipedia comprises more than 55 million articles,[7] attracting 1.7 billion unique visitors per month.",English
Take a back seat,English
A rolling stone gathers no moss,English
that's very kind of you.,English
"When conduct is not impersonation or anti-social, but rather anti-consensus or in violation of editing policies, remedies tend to be limited to warnings.",English
"[248] According to Andrew Lih, the current expansion of Wikipedia to millions of articles would be difficult to envision without the use of such bots.",English
Whip round,English
Quotations,English
